Sample,Experiment,Time,H2O2,Std_Dev
Granite,<45um,2,8.414528889,0.911774771
Granite,<45um,4,8.976904444,1.885246686
Granite,<45um,8,8.118337667,0.533055372
Granite,<45um,12,9.787614889,1.130713193
Granite,<45um,24,12.40304489,1.553220614
Granite,<45um,48,11.84188333,0.215837
Sandstone,<45um,2,4.839077778,0.842714148
Sandstone,<45um,4,4.280244444,0.719556929
Sandstone,<45um,8,5.103640667,1.091934379
Sandstone,<45um,12,5.800314222,0.698060796
Sandstone,<45um,24,5.681255556,0.855464781
Sandstone,<45um,48,6.109859,1.436032294
Basalt,<45um,2,9.043096667,1.156261893
Basalt,<45um,4,6.874441333,0.233525612
Basalt,<45um,8,7.867074222,0.149161706
Basalt,<45um,12,7.290930667,0.790253382
Basalt,<45um,24,8.996993778,0.221658403
Basalt,<45um,48,9.441548667,0.767109085
