Sample,Experiment,Time,H2O2,Std_Dev
Granite,45-106um,2,3.464009778,0.218726724
Granite,45-106um,4,4.668946667,0.236852487
Granite,45-106um,8,3.861944444,0.089101957
Granite,45-106um,12,5.458947111,0.35672662
Granite,45-106um,24,4.786960444,0.433304672
Granite,45-106um,48,5.26045,0.678439549
Sandstone,45-106um,2,4.348911111,0.671815979
Sandstone,45-106um,4,3.637940444,0.451188893
Sandstone,45-106um,8,4.383040444,0.641992017
Sandstone,45-106um,12,4.852382889,1.02472605
Sandstone,45-106um,24,5.168136111,0.719154342
Sandstone,45-106um,48,5.334385,0.29785797
Basalt,45-106um,2,5.029195556,0.14545901
Basalt,45-106um,4,4.281758667,0.161069736
Basalt,45-106um,8,4.220439778,0.186090907
Basalt,45-106um,12,4.526584,0.239640029
Basalt,45-106um,24,5.598044,0.268841807
Basalt,45-106um,48,5.214459333,0.081890508
